Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21098954-1),°C,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21038284-1),°C,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
07/25/2023,15:48:00 -0300,0,,,201,,672,,,,,,,,,,,6,9,,
07/25/2023,15:49:00 -0300,,,,,,,4.316,,,,,,,,,,,,,
07/25/2023,15:50:00 -0300,0,,,181,,637,,,,,,,,,,,5.7,7.3,,
07/25/2023,15:52:00 -0300,0,,,185,,666,,,,,,,,,,,6.3,8.7,,
07/25/2023,15:54:00 -0300,0,,,194,,661,4.307,,,,,,,,,,5.3,7.3,,
07/25/2023,15:56:00 -0300,0,,,192,,658,,,,,,,,,,,6,9,,
07/25/2023,15:58:00 -0300,0,,,188,,654,,,,,,,,,,,4.7,8,,
07/25/2023,15:59:00 -0300,,,,,,,4.337,,,,,,,,,,,,,
07/25/2023,16:00:00 -0300,0,,,187,,648,,,,,,,,,,,5.7,8.7,,
07/25/2023,16:02:00 -0300,0,,,188,,644,,,,,,,,,,,5.7,9.4,,
07/25/2023,16:04:00 -0300,0,,,191,,642,4.296,,,,,,,,,,5.7,8.3,,
07/25/2023,16:06:00 -0300,0,,,195,,634,,,,,,,,,,,5.3,7.3,,
07/25/2023,16:08:00 -0300,0,,,197,,628,,,,,,,,,,,6,8.3,,
07/25/2023,16:09:00 -0300,,,,,,,4.31,,,,,,,,,,,,,
07/25/2023,16:10:00 -0300,0,,,190,,623,,,,,,,,,,,6,9,,
07/25/2023,16:12:00 -0300,0,,,195,,621,,,,,,,,,,,7,9.7,,
07/25/2023,16:14:00 -0300,0,,,191,,616,4.334,,,,,,,,,,7.3,11.4,,
07/25/2023,16:16:00 -0300,0,,,190,,616,,,,,,,,,,,7.3,11.7,,
07/25/2023,16:18:00 -0300,0,,,190,,611,,,,,,,,,,,5.3,8.3,,
07/25/2023,16:19:00 -0300,,,,,,,4.301,,,,,,,,,,,,,
07/25/2023,16:20:00 -0300,0,,,183,,608,,,,,,,,,,,6,9,,
07/25/2023,16:22:00 -0300,0,,,187,,604,,,,,,,,,,,6.3,9.4,,
07/25/2023,16:24:00 -0300,0,,,184,,601,4.311,,,,,,,,,,7,10.4,,
07/25/2023,16:26:00 -0300,0,,,192,,594,,,,,,,,,,,6.3,10.4,,
07/25/2023,16:28:00 -0300,0,,,194,,589,,,,,,,,,,,7,10.4,,
07/25/2023,16:29:00 -0300,,,,,,,4.328,,,,,,,,,,,,,
07/25/2023,16:30:00 -0300,0,,,187,,586,,,,,,,,,,,7,9.7,,
07/25/2023,16:32:00 -0300,0,,,197,,581,,,,,,,,,,,7.3,9.4,,
07/25/2023,16:34:00 -0300,0,,,187,,576,4.299,,,,,,,,,,6.7,10,,
07/25/2023,16:36:00 -0300,0,,,192,,576,,,,,,,,,,,6,8.7,,
07/25/2023,16:38:00 -0300,0,,,194,,568,,,,,,,,,,,7,10,,
07/25/2023,16:39:00 -0300,,,,,,,4.308,,,,,,,,,,,,,
07/25/2023,16:40:00 -0300,0,,,190,,563,,,,,,,,,,,7,9.4,,
07/25/2023,16:42:00 -0300,0,,,195,,562,,,,,,,,,,,7.3,11,,
07/25/2023,16:44:00 -0300,0,,,188,,558,4.332,,,,,,,,,,6.7,8.7,,
07/25/2023,16:46:00 -0300,0,,,177,,552,,,,,,,,,,,7,9,,
07/25/2023,16:48:00 -0300,0,,,177,,547,,,,,,,,,,,6,7.7,,
07/25/2023,16:49:00 -0300,,,,,,,4.298,,,,,,,,,,,,,
07/25/2023,16:50:00 -0300,0,,,174,,543,,,,,,,,,,,6.7,10,,
07/25/2023,16:52:00 -0300,0,,,177,,538,,,,,,,,,,,6.7,11.7,,
07/25/2023,16:54:00 -0300,0,,,175,,532,4.311,,,,,,,,,,6.3,9.4,,
07/25/2023,16:56:00 -0300,0,,,178,,529,,,,,,,,,,,6.3,9.4,,
07/25/2023,16:58:00 -0300,0,,,174,,526,,,,,,,,,,,7.3,11,,
07/25/2023,16:59:00 -0300,,,,,,,4.334,,,,,,,,,,,,,
07/25/2023,17:00:00 -0300,0,,,187,,519,,,,,,,,,,,7,9.7,,
