Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP"
01/02/2024,01:15:00 -0400,,,4.083,,,,,,,
01/02/2024,01:20:00 -0400,,,4.087,,,,,,,
01/02/2024,01:25:00 -0400,,,4.09,,,,,,,
01/02/2024,01:30:00 -0400,,,4.083,,,,,,,
01/02/2024,01:35:00 -0400,,,4.087,,,,,,,
01/02/2024,01:40:00 -0400,,,4.089,,,,,,,
01/02/2024,01:45:00 -0400,,,4.081,,,,,,,
01/02/2024,01:50:00 -0400,,,4.086,,,,,,,
01/02/2024,01:55:00 -0400,,,4.087,,,,,,,
01/02/2024,02:00:00 -0400,,,4.081,,,,,,,
01/02/2024,02:05:00 -0400,,,4.086,,,,,,,
01/02/2024,02:10:00 -0400,,,4.087,,,,,,,
01/02/2024,02:15:00 -0400,,,4.081,,,,,,,
01/02/2024,02:20:00 -0400,,,4.086,,,,,,,
01/02/2024,02:25:00 -0400,,,4.087,,,,,,,
01/02/2024,02:30:00 -0400,,,4.08,,,,,,,
01/02/2024,02:35:00 -0400,,,4.084,,,,,,,
01/02/2024,02:40:00 -0400,,,4.086,,,,,,,
01/02/2024,02:45:00 -0400,,,4.078,,,,,,,
01/02/2024,02:50:00 -0400,,,4.083,,,,,,,
01/02/2024,02:55:00 -0400,,,4.084,,,,,,,
01/02/2024,03:00:00 -0400,,,4.077,,,,,,,
01/02/2024,03:05:00 -0400,,,4.083,,,,,,,
01/02/2024,03:10:00 -0400,,,4.084,,,,,,,
01/02/2024,03:15:00 -0400,,,4.077,,,,,,,
01/02/2024,03:20:00 -0400,,,4.083,,,,,,,
01/02/2024,03:25:00 -0400,,,4.083,,,,,,,
01/02/2024,03:30:00 -0400,,,4.077,,,,,,,
01/02/2024,03:35:00 -0400,,,4.081,,,,,,,
01/02/2024,03:40:00 -0400,,,4.083,,,,,,,
01/02/2024,03:45:00 -0400,,,4.075,,,,,,,
01/02/2024,03:50:00 -0400,,,4.081,,,,,,,
01/02/2024,03:55:00 -0400,,,4.081,,,,,,,
01/02/2024,04:00:00 -0400,,,4.075,,,,,,,
01/02/2024,04:05:00 -0400,,,4.08,,,,,,,
01/02/2024,04:10:00 -0400,,,4.083,,,,,,,
01/02/2024,04:15:00 -0400,,,4.074,,,,,,,
01/02/2024,04:20:00 -0400,,,4.078,,,,,,,
01/02/2024,04:25:00 -0400,,,4.081,,,,,,,
01/02/2024,04:30:00 -0400,,,4.072,,,,,,,
01/02/2024,04:35:00 -0400,,,4.078,,,,,,,
01/02/2024,04:40:00 -0400,,,4.08,,,,,,,
01/02/2024,04:45:00 -0400,,,4.072,,,,,,,
01/02/2024,04:50:00 -0400,,,4.078,,,,,,,
01/02/2024,04:55:00 -0400,,,4.08,,,,,,,
01/02/2024,05:00:00 -0400,,,4.071,,,,,,,
